"node_id","node_name","playbook_name","action_id","action_name","current_sprk_executortype","current_advisory_executoractiontype","suggested_executortype","suggested_executortype_label","confidence","suggestion_source","owner_decision_executortype","owner_notes"
"a2d49d0d-4a65-f111-ab0c-70a8a590c51c","queryMatterContext","matter-health-single","5137365a-825e-f111-a825-6045bdebafa9","Insights — Live Fact Resolver","","","80","LiveFact","HIGH","action-name","",""
"a3d49d0d-4a65-f111-ab0c-70a8a590c51c","checkSufficiency","matter-health-single","6139aa6c-825e-f111-a825-6045bdebafa9","Insights — Evidence Sufficiency","","","100","EvidenceSufficiency","HIGH","action-name","",""
"1e5ff113-4a65-f111-ab0c-70a8a590c51c","declineInsufficient","matter-health-single","d1121079-825e-f111-a825-6045bdebafa9","Insights — Decline to Find","","","110","DeclineToFind","HIGH","action-name","",""
"0ec2dd90-a171-f111-ab0d-70a8a590c51c","Create Notification","Tasks Overdue","f97747ca-2b6f-f111-ab0e-7ced8ddc4cc6","System: Create Notification","","50","50","CreateNotification","HIGH","action-name","",""
"bf305668-c370-f111-ab0e-70a8a590c51c","extract-tldr","summarize-document-for-workspace@v1","eeb05bfd-1260-f111-ab0b-70a8a59455f4","Summarize Document for Chat","","","1","AiCompletion","HIGH","action-name","",""
"c0305668-c370-f111-ab0e-70a8a590c51c","extract-keywords","summarize-document-for-workspace@v1","eeb05bfd-1260-f111-ab0b-70a8a59455f4","Summarize Document for Chat","","","1","AiCompletion","HIGH","action-name","",""
"c1305668-c370-f111-ab0e-70a8a590c51c","extract-entities","summarize-document-for-workspace@v1","eeb05bfd-1260-f111-ab0b-70a8a59455f4","Summarize Document for Chat","","","1","AiCompletion","HIGH","action-name","",""
"c8051d3c-965e-f111-a825-70a8a59455f4","resolveLiveFacts","predict-matter-cost@v1","5137365a-825e-f111-a825-6045bdebafa9","Insights — Live Fact Resolver","","","80","LiveFact","HIGH","action-name","",""
"cc051d3c-965e-f111-a825-70a8a59455f4","retrievePrecedents","predict-matter-cost@v1","23939266-825e-f111-a825-6045bdebafa9","Insights — Index Retrieve","","","90","IndexRetrieve","HIGH","action-name","",""
"cd051d3c-965e-f111-a825-70a8a59455f4","checkSufficiency","predict-matter-cost@v1","6139aa6c-825e-f111-a825-6045bdebafa9","Insights — Evidence Sufficiency","","","100","EvidenceSufficiency","HIGH","action-name","",""
"cf051d3c-965e-f111-a825-70a8a59455f4","declineInsufficient","predict-matter-cost@v1","d1121079-825e-f111-a825-6045bdebafa9","Insights — Decline to Find","","","110","DeclineToFind","HIGH","action-name","",""
"c9334fb7-a415-f111-8343-7c1e520aa4df","Save Profile","Document Profile",,,"","","","","NONE","","",""
"ca334fb7-a415-f111-8343-7c1e520aa4df","Profile Document","Document Profile","bb356968-ebe9-f011-8406-7ced8d1dc988","Document Profiler","","","","","NONE","","",""
"86e50852-9a16-f111-8343-7c1e520aa4df","Start","Document Summary",,,"","","33","Start","LOW","node-name","",""
"00602067-9a16-f111-8343-7c1e520aa4df","Document Profile Analysis","Document Summary","bb356968-ebe9-f011-8406-7ced8d1dc988","Document Profiler","","","","","NONE","","",""
"e514cfab-9d16-f111-8343-7c1e520aa4df","Document Profile","Document Summary",,,"","","","","NONE","","",""
"0fa4e8db-b216-f111-8343-7c1e520aa4df","Update Record","Document Profile",,,"","","22","UpdateRecord","MEDIUM","node-name","",""
