recordId,sprk_graphdriveid,mapped_index,action,detail
fa367104-e662-f111-ab0c-000d3a4d8152,"b!vzGDfDpd7km_-_H38Q6ZfbotQXLPXF9Ci71VoQmIOHUKlvxOqBsHQLrROZ5KySLh",spaarke-file-index,dry-run-fill,"Would PATCH sprk_searchindexname"
e270fa52-e662-f111-ab0c-000d3a4d8152,"b!vzGDfDpd7km_-_H38Q6ZfbotQXLPXF9Ci71VoQmIOHUKlvxOqBsHQLrROZ5KySLh",spaarke-file-index,dry-run-fill,"Would PATCH sprk_searchindexname"
6046df87-e762-f111-ab0c-000d3a4d8152,"b!vzGDfDpd7km_-_H38Q6ZfbotQXLPXF9Ci71VoQmIOHUKlvxOqBsHQLrROZ5KySLh",spaarke-file-index,dry-run-fill,"Would PATCH sprk_searchindexname"
86e8f01a-e862-f111-ab0c-000d3a4d8152,"b!vzGDfDpd7km_-_H38Q6ZfbotQXLPXF9Ci71VoQmIOHUKlvxOqBsHQLrROZ5KySLh",spaarke-file-index,dry-run-fill,"Would PATCH sprk_searchindexname"
928314cd-e2c7-47a4-9757-0aca12245378,"",,orphan,"No sprk_graphdriveid — out of scope per spec §9 round-3"
2e76d19a-d16d-4eef-bf3b-288f3d5dec89,"",,orphan,"No sprk_graphdriveid — out of scope per spec §9 round-3"
199b79f4-e257-f111-a824-3833c5d9bcb1,"b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50",spaarke-knowledge-index-v2,dry-run-fill,"Would PATCH sprk_searchindexname"
58a69ac1-2a60-f111-ab0b-70a8a59455f4,"b!vzGDfDpd7km_-_H38Q6ZfbotQXLPXF9Ci71VoQmIOHUKlvxOqBsHQLrROZ5KySLh",spaarke-file-index,dry-run-fill,"Would PATCH sprk_searchindexname"
8a24864d-3660-f111-ab0b-70a8a59455f4,"b!vzGDfDpd7km_-_H38Q6ZfbotQXLPXF9Ci71VoQmIOHUKlvxOqBsHQLrROZ5KySLh",spaarke-file-index,dry-run-fill,"Would PATCH sprk_searchindexname"
ac39fc23-3c60-f111-ab0b-70a8a59455f4,"b!vzGDfDpd7km_-_H38Q6ZfbotQXLPXF9Ci71VoQmIOHUKlvxOqBsHQLrROZ5KySLh",spaarke-file-index,dry-run-fill,"Would PATCH sprk_searchindexname"
4e4e9c8f-820e-f111-8342-7c1e520aa4df,"",,orphan,"No sprk_graphdriveid — out of scope per spec §9 round-3"
514e9c8f-820e-f111-8342-7c1e520aa4df,"",,orphan,"No sprk_graphdriveid — out of scope per spec §9 round-3"
122f4462-860e-f111-8342-7c1e520aa4df,"",,orphan,"No sprk_graphdriveid — out of scope per spec §9 round-3"
162f4462-860e-f111-8342-7c1e520aa4df,"",,orphan,"No sprk_graphdriveid — out of scope per spec §9 round-3"
0304dbc8-880e-f111-8342-7c1e520aa4df,"b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50",spaarke-knowledge-index-v2,dry-run-fill,"Would PATCH sprk_searchindexname"
0704dbc8-880e-f111-8342-7c1e520aa4df,"b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50",spaarke-knowledge-index-v2,dry-run-fill,"Would PATCH sprk_searchindexname"
4e9ea7b7-920e-f111-8342-7c1e520aa4df,"b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50",spaarke-knowledge-index-v2,dry-run-fill,"Would PATCH sprk_searchindexname"
da2229a1-2911-f111-8342-7c1e520aa4df,"b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50",spaarke-knowledge-index-v2,dry-run-fill,"Would PATCH sprk_searchindexname"
ba5e0afd-2914-f111-8343-7c1e520aa4df,"b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50",spaarke-knowledge-index-v2,dry-run-fill,"Would PATCH sprk_searchindexname"
5b2b4836-0618-f111-8343-7c1e520aa4df,"b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50",spaarke-knowledge-index-v2,dry-run-fill,"Would PATCH sprk_searchindexname"
6846bb40-6ed9-f011-8406-7c1e520aa4df,"b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50",spaarke-knowledge-index-v2,dry-run-fill,"Would PATCH sprk_searchindexname"
