timestamp,entity,recordId,recordName,existing_containerid,existing_indexname,derived_container,derived_index,source,action,message
2026-06-08T03:35:29.1679035Z,sprk_matter,491b1efe-e562-f111-ab0c-000d3a4d8152,Test New Matter via Workspace,b!vzGDfDpd7km_-_H38Q6ZfbotQXLPXF9Ci71VoQmIOHUKlvxOqBsHQLrROZ5KySLh,,b!vzGDfDpd7km_-_H38Q6ZfbotQXLPXF9Ci71VoQmIOHUKlvxOqBsHQLrROZ5KySLh,spaarke-file-index,doc-mode,would-fill,container=preserve index=fill childCount=1
2026-06-08T03:35:29.4059744Z,sprk_matter,5d46df87-e762-f111-ab0c-000d3a4d8152,Programmable E3 Ligase Identification Patent Application,b!vzGDfDpd7km_-_H38Q6ZfbotQXLPXF9Ci71VoQmIOHUKlvxOqBsHQLrROZ5KySLh,,b!vzGDfDpd7km_-_H38Q6ZfbotQXLPXF9Ci71VoQmIOHUKlvxOqBsHQLrROZ5KySLh,spaarke-file-index,doc-mode,would-fill,container=preserve index=fill childCount=1
2026-06-08T03:35:29.6065449Z,sprk_matter,0d8df610-aa57-f111-a824-3833c5d9bcab,Meridian Corp v. Pinnacle Industries - Patent Infringement,b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50,,b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50,spaarke-knowledge-index-v2,doc-mode,would-fill,container=preserve index=fill childCount=1
2026-06-08T03:35:29.7950997Z,sprk_matter,da116923-d65a-f111-a825-3833c5d9bcb1,Test New Matter via Workspace,b!vzGDfDpd7km_-_H38Q6ZfbotQXLPXF9Ci71VoQmIOHUKlvxOqBsHQLrROZ5KySLh,,b!vzGDfDpd7km_-_H38Q6ZfbotQXLPXF9Ci71VoQmIOHUKlvxOqBsHQLrROZ5KySLh,spaarke-file-index,doc-mode,would-fill,"container=preserve index=fill childCount=2, uniqueDrives=2"
2026-06-08T03:35:29.9839040Z,sprk_matter,4d2b684b-e355-f111-a824-3833c5ed9c11,Test New Matter via Workspace,b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50,,b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50,spaarke-knowledge-index-v2,doc-mode,would-fill,container=preserve index=fill childCount=1
2026-06-08T03:35:30.1824576Z,sprk_matter,3a785f76-c773-f011-b4cb-6045bdd8b757,Commercial matter,b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50,,b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50,spaarke-knowledge-index-v2,doc-mode,would-fill,"container=preserve index=fill childCount=127, uniqueDrives=127"
2026-06-08T03:35:30.5916775Z,sprk_matter,50a69ac1-2a60-f111-ab0b-70a8a59455f4,Test New Matter via Workspace,b!vzGDfDpd7km_-_H38Q6ZfbotQXLPXF9Ci71VoQmIOHUKlvxOqBsHQLrROZ5KySLh,,b!vzGDfDpd7km_-_H38Q6ZfbotQXLPXF9Ci71VoQmIOHUKlvxOqBsHQLrROZ5KySLh,spaarke-file-index,doc-mode,would-fill,container=preserve index=fill childCount=1
2026-06-08T03:35:31.2409350Z,sprk_matter,042f4462-860e-f111-8342-7c1e520aa4df,Commercial matter,,,b!vzGDfDpd7km_-_H38Q6ZfbotQXLPXF9Ci71VoQmIOHUKlvxOqBsHQLrROZ5KySLh,spaarke-file-index,bu-fallback,would-fill,container=fill index=fill childCount=0
2026-06-08T03:35:31.4204648Z,sprk_matter,f703dbc8-880e-f111-8342-7c1e520aa4df,Litigation matter,b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50,,b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50,spaarke-knowledge-index-v2,doc-mode,would-fill,"container=preserve index=fill childCount=3, uniqueDrives=3"
2026-06-08T03:35:31.6005316Z,sprk_matter,fcdefa37-a60e-f111-8342-7c1e520aa4df,Commercial matter,b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50,,b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50,spaarke-knowledge-index-v2,doc-mode,would-fill,container=preserve index=fill childCount=1
